Iter 0084280  Loss: 0.007591
Iter 0084300  Loss: 0.007361
Iter 0084320  Loss: 0.007748
Iter 0084340  Loss: 0.007949
Iter 0084360  Loss: 0.008016
Iter 0084380  Loss: 0.007538
Iter 0084400  Loss: 0.007917
Iter 0084420  Loss: 0.007868
Iter 0084440  Loss: 0.007713
Iter 0084460  Loss: 0.007978
Iter 0084480  Loss: 0.007167
Iter 0084500  Loss: 0.007576
Iter 0084520  Loss: 0.007766
Iter 0084540  Loss: 0.007977
Iter 0084560  Loss: 0.007509
Iter 0084580  Loss: 0.007428
Iter 0084600  Loss: 0.007757
Iter 0084620  Loss: 0.007239
Iter 0084640  Loss: 0.008070
Iter 0084660  Loss: 0.007655
Iter 0084680  Loss: 0.007858
Iter 0084700  Loss: 0.007648
Iter 0084720  Loss: 0.007383
Iter 0084740  Loss: 0.007610
Iter 0084760  Loss: 0.007382
Iter 0084780  Loss: 0.007492
Iter 0084800  Loss: 0.007370
Iter 0084820  Loss: 0.007657
Iter 0084840  Loss: 0.009263
Iter 0084860  Loss: 0.007775
Iter 0084880  Loss: 0.008051
Iter 0084900  Loss: 0.007677
Iter 0084920  Loss: 0.007575
Iter 0084940  Loss: 0.007517
Iter 0084960  Loss: 0.007416
Iter 0084980  Loss: 0.007739
Iter 0085000  Loss: 0.007396
Iter 0085020  Loss: 0.008088
Iter 0085040  Loss: 0.008196
Iter 0085060  Loss: 0.008130
Iter 0085080  Loss: 0.007897
Iter 0085100  Loss: 0.007434
Iter 0085120  Loss: 0.007951
Iter 0085140  Loss: 0.007453
Iter 0085160  Loss: 0.007720
Iter 0085180  Loss: 0.007305
Iter 0085200  Loss: 0.007687
Iter 0085220  Loss: 0.006919
Iter 0085240  Loss: 0.008002
Iter 0085260  Loss: 0.007200
Iter 0085280  Loss: 0.006825
Iter 0085300  Loss: 0.007305
Iter 0085320  Loss: 0.007710
Iter 0085340  Loss: 0.007260
Iter 0085360  Loss: 0.008579
Iter 0085380  Loss: 0.008200
Iter 0085400  Loss: 0.008018
Iter 0085420  Loss: 0.007423
Iter 0085440  Loss: 0.008028
Iter 0085460  Loss: 0.007390
Iter 0085480  Loss: 0.007094
Iter 0085500  Loss: 0.007385
Iter 0085520  Loss: 0.007681
Iter 0085540  Loss: 0.007519
Iter 0085560  Loss: 0.006800
Iter 0085580  Loss: 0.007329
Iter 0085600  Loss: 0.007765
Iter 0085620  Loss: 0.007323
Iter 0085640  Loss: 0.007821
Iter 0085660  Loss: 0.007293
Iter 0085680  Loss: 0.007385
Iter 0085700  Loss: 0.007688
Iter 0085720  Loss: 0.007629
Iter 0085740  Loss: 0.007531
Iter 0085760  Loss: 0.007640
Iter 0085780  Loss: 0.007657
Iter 0085800  Loss: 0.007244
Iter 0085820  Loss: 0.007418
Iter 0085840  Loss: 0.007279
Iter 0085860  Loss: 0.007222
Iter 0085880  Loss: 0.007370
Iter 0085900  Loss: 0.007133
Iter 0085920  Loss: 0.007579
